,Post filter,Network,Threshold,Total canonical,Found canonical,Fraction canonical
0,"(1, 0.2)",ribosomal_net_0,0.0,621,0,0.0
1,"(1, 0.2)",snorna_net_0,0.0,621,9,0.01
2,"(1, 0.2)",snorna_net_0,0.2,621,5,0.01
3,"(1, 0.2)",snorna_net_0,0.5,621,4,0.01
4,"(1, 0.2)",snorna_net_0,0.9,621,1,0.0
5,"(1, 0.2)",snorna_ribo_net_0,0.0,621,9,0.01
6,"(1, 0.2)",snorna_ribo_net_0,0.2,621,5,0.01
7,"(1, 0.2)",snorna_ribo_net_0,0.5,621,5,0.01
8,"(1, 0.2)",snorna_ribo_net_0,0.9,621,1,0.0
9,"(1, 0.2)",merged_interactions_files_ribo,0.0,621,0,0.0
10,"(1, 0.2)",merged_interactions_files_sno,0.0,621,61,0.1
11,"(1, 0.2)",merged_interactions_files_sno,0.2,621,16,0.03
12,"(1, 0.2)",merged_interactions_files_sno,0.5,621,8,0.01
13,"(1, 0.2)",merged_interactions_files_sno,0.9,621,1,0.0
14,"(1, 0.2)",merged_interactions_files_sno_ribo,0.0,621,61,0.1
15,"(1, 0.2)",merged_interactions_files_sno_ribo,0.2,621,16,0.03
16,"(1, 0.2)",merged_interactions_files_sno_ribo,0.5,621,8,0.01
17,"(1, 0.2)",merged_interactions_files_sno_ribo,0.9,621,1,0.0
18,"(5, 0.4)",ribosomal_net_0,0.0,481,0,0.0
19,"(5, 0.4)",snorna_net_0,0.0,481,8,0.02
20,"(5, 0.4)",snorna_net_0,0.2,481,5,0.01
21,"(5, 0.4)",snorna_net_0,0.5,481,4,0.01
22,"(5, 0.4)",snorna_net_0,0.9,481,1,0.0
23,"(5, 0.4)",snorna_ribo_net_0,0.0,481,8,0.02
24,"(5, 0.4)",snorna_ribo_net_0,0.2,481,5,0.01
25,"(5, 0.4)",snorna_ribo_net_0,0.5,481,5,0.01
26,"(5, 0.4)",snorna_ribo_net_0,0.9,481,1,0.0
27,"(5, 0.4)",merged_interactions_files_ribo,0.0,481,0,0.0
28,"(5, 0.4)",merged_interactions_files_sno,0.0,481,57,0.12
29,"(5, 0.4)",merged_interactions_files_sno,0.2,481,16,0.03
30,"(5, 0.4)",merged_interactions_files_sno,0.5,481,8,0.02
31,"(5, 0.4)",merged_interactions_files_sno,0.9,481,1,0.0
32,"(5, 0.4)",merged_interactions_files_sno_ribo,0.0,481,57,0.12
33,"(5, 0.4)",merged_interactions_files_sno_ribo,0.2,481,16,0.03
34,"(5, 0.4)",merged_interactions_files_sno_ribo,0.5,481,8,0.02
35,"(5, 0.4)",merged_interactions_files_sno_ribo,0.9,481,1,0.0
36,"(10, 0.4)",ribosomal_net_0,0.0,463,0,0.0
37,"(10, 0.4)",snorna_net_0,0.0,463,8,0.02
38,"(10, 0.4)",snorna_net_0,0.2,463,5,0.01
39,"(10, 0.4)",snorna_net_0,0.5,463,4,0.01
40,"(10, 0.4)",snorna_net_0,0.9,463,1,0.0
41,"(10, 0.4)",snorna_ribo_net_0,0.0,463,8,0.02
42,"(10, 0.4)",snorna_ribo_net_0,0.2,463,5,0.01
43,"(10, 0.4)",snorna_ribo_net_0,0.5,463,5,0.01
44,"(10, 0.4)",snorna_ribo_net_0,0.9,463,1,0.0
45,"(10, 0.4)",merged_interactions_files_ribo,0.0,463,0,0.0
46,"(10, 0.4)",merged_interactions_files_sno,0.0,463,57,0.12
47,"(10, 0.4)",merged_interactions_files_sno,0.2,463,16,0.03
48,"(10, 0.4)",merged_interactions_files_sno,0.5,463,8,0.02
49,"(10, 0.4)",merged_interactions_files_sno,0.9,463,1,0.0
50,"(10, 0.4)",merged_interactions_files_sno_ribo,0.0,463,57,0.12
51,"(10, 0.4)",merged_interactions_files_sno_ribo,0.2,463,16,0.03
52,"(10, 0.4)",merged_interactions_files_sno_ribo,0.5,463,8,0.02
53,"(10, 0.4)",merged_interactions_files_sno_ribo,0.9,463,1,0.0
